QB_ID,Peer_assessment_of_QBs_school,Week,Incompetence,Athleticism,Competence,Lack_of_athleticism,QB_race,Performance,QB_race_x_Performance,Words_published_per_QB_per_interval,Source_of_phrase,Rushing_yards,Evaluative_phrases_negative,Evaluative_phrases_positive
11051,2,7,0,0,0,0,1,0,0,599,1,177,0.00,0.00
11051,2,10,0,0,0,0,1,0,0,0,1,21,0.00,0.00
11061,4,1,0,0,0,0,0,1,0,0,0,28,0.00,0.00
11061,4,4,1,0,4,0,0,1,0,2902,1,,0.00,4.00
11061,4,7,0,2,0,0,0,,0,1244,0,,0.00,0.00
11061,4,10,0,0,11,1,0,,0,1907,0,,0.00,3.00
11072,3,1,0,0,0,0,0,,0,0,0,0,0.00,0.00
11072,3,4,0,0,0,0,0,,0,0,0,30,0.00,0.00
11072,3,7,0,0,0,0,0,,0,0,0,,0.00,0.00
11072,3,10,0,0,1,0,0,0,0,301,0,,0.00,0.00
11081,3,1,0,0,0,0,1,0,0,0,1,-21,0.00,0.00
11081,3,4,2,0,1,1,1,0,0,1099,0,,0.00,2.00
11081,3,7,0,0,0,0,1,1,1,0,0,,0.00,0.00
11081,3,10,0,1,2,0,1,1,1,700,0,,0.00,0.00
11091,2,1,0,0,0,0,1,1,1,0,0,0,0.00,0.00
11091,2,4,0,0,0,0,1,1,1,0,0,,0.00,0.00
11091,2,7,0,6,28,5,1,0,0,1022,0,21,0.00,1.00
11091,2,10,0,6,2,0,1,0,0,441,0,0,0.00,2.00
11101,4,1,0,0,0,0,1,1,1,0,0,40,0.00,0.00
11101,4,4,0,1,10,0,1,,0,462,0,42,0.00,1.00
11101,4,7,0,0,0,0,1,0,0,522,0,85,1.00,1.00
11101,4,10,0,0,4,0,1,1,1,439,0,44,0.00,2.00
11111,4,1,0,0,0,0,1,0,0,0,0,17,0.00,0.00
11111,4,4,0,2,2,1,1,1,1,1672,1,40,1.00,2.00
11111,4,7,0,2,0,1,1,1,1,1347,0,,3.00,1.00
11111,4,10,3,1,1,1,1,0,0,2138,0,,0.00,1.00
11122,3,1,0,0,0,0,1,,0,0,0,129,0.00,0.00
11122,3,4,0,11,11,0,1,1,1,1414,0,1,0.00,3.00
11122,3,7,3,0,0,0,1,1,1,648,0,28,0.00,0.00
11122,3,10,0,1,0,0,1,,0,1918,0,9,1.00,0.00
11131,4,1,0,0,0,0,0,0,0,0,0,,0.00,0.00
11131,4,4,0,1,5,0,0,1,0,1465,0,3,1.00,0.00
11131,4,7,1,1,3,0,0,1,0,1043,0,17,0.00,1.00
11131,4,10,0,0,3,0,0,1,0,1021,0,-6,0.00,0.00
11141,4,1,1,0,4,0,0,1,0,1538,0,-9,0.00,4.00
11141,4,4,1,1,8,0,0,0,0,2196,0,-27,2.00,3.00
11141,4,7,0,2,0,0,0,0,0,1089,0,3,1.00,0.00
11141,4,10,0,3,8,0,0,0,0,1524,0,-4,0.00,5.00
11151,3,1,0,4,0,0,0,0,0,617,0,-4,0.00,1.00
11151,3,4,0,0,0,0,0,0,0,714,0,0,0.00,0.00
11151,3,7,1,0,0,0,0,0,0,715,1,-34,2.00,0.00
11151,3,10,0,0,0,0,0,1,0,0,0,0,0.00,0.00
11161,3,1,0,8,0,0,1,1,1,649,0,15,0.00,2.00
11161,3,4,0,19,13,1,1,1,1,3779,0,,1.00,15.00
11161,3,7,0,5,1,0,1,,0,1372,1,10,0.00,1.00
11161,3,10,0,10,3,0,1,1,1,1768,0,42,0.00,5.00
11172,2,1,0,0,0,0,0,0,0,649,0,,0.00,0.00
11172,2,4,0,0,1,4,0,1,0,1364,1,52,1.00,0.00
11172,2,7,0,2,1,1,0,1,0,1504,0,15,0.00,1.00
11172,2,10,1,0,0,0,0,0,0,846,0,,0.00,0.00
11181,4,1,0,0,3,0,0,1,0,759,1,97,0.00,2.00
11181,4,4,0,1,8,1,0,1,0,1661,0,42,0.00,0.00
11181,4,7,0,0,0,0,0,0,0,0,0,,0.00,0.00
11181,4,10,0,0,0,0,0,1,0,715,0,156,1.00,0.00
11192,4,1,0,0,0,0,0,1,0,0,0,41,0.00,0.00
11192,4,4,0,0,0,0,0,1,0,0,0,82,0.00,0.00
11192,4,7,0,0,0,0,0,0,0,1139,0,,0.00,1.00
11192,4,10,1,0,0,0,0,1,0,1209,0,,1.00,0.00
